date,pred_cases_mean,pred_cases_q10,pred_cases_q90,ess
2022-04-15,21633.88424492433,21629.1857438763,21638.276325715357,299.99999999999994
2022-04-16,21571.72685523217,21567.24471811575,21576.066777455577,299.99999999999994
2022-04-17,21513.334712299787,21508.944783264684,21517.464211946168,299.99999999999994
2022-04-18,21458.664825169817,21454.283030397117,21462.921593520037,299.99999999999994
2022-04-19,21407.695620368886,21403.279815072197,21412.11178708376,299.99999999999994
2022-04-20,21360.379216735953,21355.914017575433,21364.495952526824,299.99999999999994
2022-04-21,21316.63336120933,21311.971135544678,21320.969158002565,299.99999999999994
2022-04-22,21276.58545624127,21271.931160990047,21280.726384150978,299.94136240604576
2022-04-23,21239.986427833268,21235.2947728153,21244.09343371127,299.99999999999994
2022-04-24,21206.948286350937,21202.18918748575,21211.12728065358,299.99999999999994
2022-04-25,21177.43096335307,21172.868734992757,21181.591570411423,299.99999999999994
2022-04-26,21151.318633934872,21146.61616012178,21155.534337841123,299.99999999999994
2022-04-27,21128.65878886058,21123.757698311492,21132.806072464187,299.99999999999994
2022-04-28,21109.394031433592,21104.24271726021,21113.857094073217,299.99999999999994
2022-04-29,21093.5551106067,21088.416666480705,21098.023814656222,299.99999999999994
2022-04-30,21081.118463233826,21076.019144207054,21085.49869293787,299.9749167872012
2022-05-01,21071.978845181362,21067.0680944955,21076.3005929135,299.9053022009411
2022-05-02,21066.09568152736,21061.3663364551,21070.509305524785,299.99999999999994
2022-05-03,21063.59120967193,21058.656465673335,21068.020304084606,299.99999999999994
2022-05-04,21064.40637594508,21059.309042702298,21068.9818689519,299.99999999999994
2022-05-05,21068.47182270535,21063.57333529147,21073.142399574226,299.99999999999994
2022-05-06,21075.744664849193,21070.60256301515,21080.535361737588,299.99999999999994
2022-05-07,21086.36960962163,21081.211430511044,21091.253838017816,299.9823670139309
2022-05-08,21100.13639262535,21095.06455950758,21104.937662735945,299.99999999999994
2022-05-09,21117.11462030757,21111.85354632387,21122.19585665104,299.99999999999994
2022-05-10,21137.428539445125,21132.290376412893,21142.42574666898,299.99999999999994
2022-05-11,21160.938637189196,21155.772072304015,21165.898842698665,299.99999999999994
2022-05-12,21187.64301051824,21182.61749497517,21192.71559425386,299.99999999999994
2022-05-13,21217.507042829784,21212.347715855918,21222.677452686446,299.99999999999994
2022-05-14,21250.686657927272,21245.420739441863,21255.85474125584,299.99999999999994
2022-05-15,21287.000363937626,21281.61778560762,21292.306144323567,299.99999999999994
2022-05-16,21326.53621185147,21320.95278966388,21331.759591719325,299.99999999999994
2022-05-17,21369.30708671041,21363.743385925096,21374.794421360875,299.99999999999994
2022-05-18,21415.211379041008,21409.5382593609,21420.654583180025,299.99999999999994
2022-05-19,21464.379041749846,21458.4755334924,21469.791240029408,299.99999999999994
2022-05-20,21516.67815572936,21510.67282361156,21522.32034198006,299.99999999999994
2022-05-21,21572.243803825146,21566.24932455883,21577.807041723052,299.99999999999994
2022-05-22,21630.927097108743,21624.95061304304,21636.785944797055,299.99999999999994
2022-05-23,21692.860197220696,21686.677809453744,21698.793094127268,299.99999999999994
2022-05-24,21757.999461015526,21752.059564061838,21764.009685148107,299.99999999999994
2022-05-25,21826.36643767714,21820.101696893104,21832.371862926448,299.99999999999994
2022-05-26,21898.04986614095,21891.624911694857,21904.222287219414,299.99999999999994
2022-05-27,21972.91827866011,21966.62438302424,21979.29794477297,299.99999999999994
2022-05-28,22051.06562488632,22044.598812778186,22057.45138070433,299.99999999999994
2022-05-29,22132.43657203444,22126.01101418601,22138.830078161645,299.9992829213755
2022-05-30,22217.17205673501,22210.593332776567,22223.918957498212,299.99999999999994
2022-05-31,22305.155500965444,22298.32808729853,22311.749111138353,299.99797524290483
2022-06-01,22396.45412950516,22389.297535702324,22403.003266827047,299.99153303676223
2022-06-02,22491.045161821956,22483.752997499527,22497.748520762332,299.9805569052384
2022-06-03,22588.927052909046,22581.70616324546,22595.878745508177,299.99999999999994
2022-06-04,22690.10526373974,22682.812299106343,22697.00937509582,299.99999999999994
2022-06-05,22794.71342243038,22787.787233974457,22802.029586912704,299.99999999999994
