date,disease,country,region_id,region_name,signal_type,value,population,source,is_smoothed,is_imputed,quality_flag
2020-08-25,COVID-19,Germany,DE,Germany,reported_cases,234853,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-08-26,COVID-19,Germany,DE,Germany,reported_cases,236429,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-08-27,COVID-19,Germany,DE,Germany,reported_cases,237936,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-08-28,COVID-19,Germany,DE,Germany,reported_cases,239507,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-08-29,COVID-19,Germany,DE,Germany,reported_cases,240986,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-08-30,COVID-19,Germany,DE,Germany,reported_cases,241771,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-08-31,COVID-19,Germany,DE,Germany,reported_cases,242381,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-09-01,COVID-19,Germany,DE,Germany,reported_cases,243599,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-09-02,COVID-19,Germany,DE,Germany,reported_cases,244855,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-09-03,COVID-19,Germany,DE,Germany,reported_cases,246166,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-09-04,COVID-19,Germany,DE,Germany,reported_cases,247619,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-09-05,COVID-19,Germany,DE,Germany,reported_cases,248997,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-09-06,COVID-19,Germany,DE,Germany,reported_cases,249985,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-09-07,COVID-19,Germany,DE,Germany,reported_cases,250799,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-09-08,COVID-19,Germany,DE,Germany,reported_cases,252298,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-09-09,COVID-19,Germany,DE,Germany,reported_cases,253474,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-09-10,COVID-19,Germany,DE,Germany,reported_cases,255366,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-09-11,COVID-19,Germany,DE,Germany,reported_cases,256850,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-09-12,COVID-19,Germany,DE,Germany,reported_cases,258480,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-09-13,COVID-19,Germany,DE,Germany,reported_cases,259428,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-09-14,COVID-19,Germany,DE,Germany,reported_cases,260355,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-09-15,COVID-19,Germany,DE,Germany,reported_cases,261762,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-09-16,COVID-19,Germany,DE,Germany,reported_cases,263663,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-09-17,COVID-19,Germany,DE,Germany,reported_cases,265857,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-09-18,COVID-19,Germany,DE,Germany,reported_cases,267773,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-09-19,COVID-19,Germany,DE,Germany,reported_cases,270070,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-09-20,COVID-19,Germany,DE,Germany,reported_cases,271415,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-09-21,COVID-19,Germany,DE,Germany,reported_cases,272337,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-09-22,COVID-19,Germany,DE,Germany,reported_cases,274158,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-09-23,COVID-19,Germany,DE,Germany,reported_cases,275927,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-09-24,COVID-19,Germany,DE,Germany,reported_cases,278070,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-09-25,COVID-19,Germany,DE,Germany,reported_cases,280223,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-09-26,COVID-19,Germany,DE,Germany,reported_cases,282730,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-09-27,COVID-19,Germany,DE,Germany,reported_cases,284140,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-09-28,COVID-19,Germany,DE,Germany,reported_cases,285332,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-09-29,COVID-19,Germany,DE,Germany,reported_cases,287421,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-09-30,COVID-19,Germany,DE,Germany,reported_cases,289219,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-10-01,COVID-19,Germany,DE,Germany,reported_cases,291722,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-10-02,COVID-19,Germany,DE,Germany,reported_cases,294395,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
